Adresse,Chiffre d'affaires (en M€),Directeur financier,Directeur général,Directrice administrative,Directrice commerciale,Effectif,Mail,Nom de la holding,Président,Rentabilité (en % du CA),Responsable Après-vente,Responsable PR,Responsable technique,Site Web,Téléphone,Volume VO,Volume de vente VN
4 rue de Dion Bouton 95310 Saint-Ouen l'Aum6ne,100,Vrej Izikian,Bedros Izikian,Fatima Costa,Armen Izikian,140,renseignement@abvv.fr,BVAV Financial,Grégoire Izikian,"0,8%",Mathieu Vanlin,Frédéric Strasser,Nicolas Renaud,www.abvv.fr,01 34 30 40 40,760 (470),"2 585 (1 250 Volvo, 260 Jaguar-Land Rover, 700 Hyundai, 300 Seat Cupra, 75 Skoda)"
"2 impasse de la Source, 74200 Thonon-les-Bains",,Laurence Peyrieras,Romain Bruccheri,,,,jmdegeneve@degeneve.fr,JMD Conseil,Jean-Marie Degeneve,,,,,www.degeneve.fr,04 50 71 62 66,,
"Rue Joseph Cugnot, 50000 Saint-Lo",,,Géraldine Deshayes,,,,geraldinedeshayes@wanadoo.fr,Groupe Garage André Dessoude,André Dessoude,,,,,,02 33 75 66 66,,
"365 route de Vannes, 44800 St-Herblain",420,,Alexandre Digoin,,,640,cdigoin@groupe-dmd.fr,DMD SAS,Christian Digoin,,,,,www.groupe-dmd.com; www.centrevoapro.com,02 40 16 11 12,8800 (4700 particuliers),6600 VN
107 route de Corbeil 91700 Ste-Geneviève-des-Bois,NA,NA,Cécile Gatti,NA,NA,NA,cecile.gatti@groupedonjon.fr,Garage du Donjon,NA,NA,NA,NA,NA,www.groupe-donjon.fr,01 69 46 63 00,NA,NA
"Rue de St Clément, 89100 St Denis lés Sens",,,Thierry Ducreux,,,,,Finaduc,Thierry Ducreux,,,,,www.groupe-ducreux.fr,03 86 83 18 18,,
"3 rue du Frênelet, 59650 Villeneuve d’Ascq",,,Xavier Duthoit,,,,xavier.duthoit@easy-motors.fr,Easy Motors,Xavier Duthoit,,,,,www.easy-motors.fr,03 20 04 36 46,,
28 avenue Didier Daurat 64000 Pau,,Lydie Lacaze,Lionel Prévost,,,,anne.sclafer@edenauto.com,Eden Auto,Eric Stierlen,,,,,www.edenauto.com,05 59 13 06 83,,
180 avenue de l'Europe 33260 La Teste de Buch,,,,,,,contact@elidautos.fr,JB Holding,Jacques Bellec,,,,,www.elidautos.fr,05 57 52 52 52,,
13-17-19 route de Corbeil 91700 Sainte-Geneviève des Bois,,,"Nathalie de Castro, Elisabeth de Castro",,,,,Atlantico,Manuel de Castro,,,,,"['www.groupe-atlantico.com', 'www.seat91.fr']",01 69 25 41 41,,
"12 bd René Descartes - CS 80095, 86961 Futuroscope Cedex",4929,Stéphane Caldairou,"Thierry Groualle, Jean-Pierre Mesic",Unavailable,Unavailable,10 119,informations@emilfrey.fr,Emil Frey France,Hervé Miralles,Unavailable,Unavailable,Unavailable,Unavailable,www.emilfreyfrance.fr,05 49 49 49 20,105 989 (64 850),104 332
20 route de Charmeil 03700 Bellerive sur Allier,,,Christian Coulot,,,,contact@groupelevotre.com,CC Investissements,Franck Levotre,,,,,www.heli-motors.bmw.fr,04 70 98 65 80,,
Route du Meuble ZA La Brosse 35760 Saint-Grégoire,,,Ludovic Laferrière,,,,contact@espace-nissan.fr,Holding California,Jean-Marc Laferrière,,,,,www.espace-nissan.fr,02 99 83 59 59,,
"36-40 rue de Lille, BP 32 - A1é Sortie 44, 62100 Calais",Not Available,Not Available,Vianney Debove,Claire Bonte,Not Available,Not Available,Not Available,JL Développement,Jean-Luc Debove,Not Available,Philippe Minnebois,Not Available,Not Available,Not Available,03 21 85 85 85,Not Available,Not Available
88 bld Pereire 75017 Paris,,,,,,,d.fidelangeli@fairplayauto.com,GROUPE FAIR,Dominique Fidelangeli,,,,,www.fairplayauto.com,01 44 15 84 15,,
"4 avenue de Parchim, 52100 Saint-Dizier",80,,,,,,,GROUPE FELINE,Thibault Leliévre,,,,,,03 29 56 19 72,,
"126 avenue de Malakoff, 75116 Paris",,Financo,Benjamin Fournier,,,,auto@espacesaintgermain.fr,FOURNIER,Thierry Fournier,,,,,"www.fourniergroup.fr, www. biancar.fr (VO a pro), www. drivo.fr (VO a particuliers)",01 3432 4400,,
4 avenue du Pdt René Coty 10600 La Chapelle St Luc,N/A,Olivier Guichard,N/A,N/A,N/A,N/A,olivier.guichard@jpfroment.fr,SAS Celmex,Marie-Céline Hauet,N/A,"Céline Pinchon, Frédéric",N/A,N/A,www.groupefroment.fr,03 25 45 25 59,N/A,N/A
Immeuble Albizia RD3 - Lieu dit Mangot Vulcin Quartier Bois Carré 97232 Le Lamentin,,,Julien Charlier,,,1600,julien.charlier@socipar.com,Socipar,Hubert Aubéry,,,,,www.groupe-aubery.com,,,
51 avenue de la Libération 13200 Arles,,,,,,,,SAS GGA,Gilles Angevin,,,,,,04 90 96 98 10,,
Acajou BP 423 Zs 97292 Le Lamentin Cedex 02,,,Rodolphe Hayot,,,15 900,service.communication@gbh.fr,Groupe Bernard Hayot,Bernard Hayot,,,,,www.gbh.fr,05 96 50 37 56,,
"5 rue de la Baie d’Hudson, 49300 Cholet",1300,,,,,1600,d.gaist@groupegca.com,GCA investissements,David Gaist,"3,9%",,,,www.groupegca.com,02 41 65 03 05,27 711,32 505
"151 chemin de la Passio Vella, 66000 Perpignan",Not Provided,Anne-Marie Torres,Gérald Imbert,Not Provided,Not Provided,Not Provided,contact@lg-automobiles.fr,Holding LG Automobiles SAS,Ludovic Garcia-Colombani,Not Provided,Siegfried Delouf,Not Provided,Not Provided,www.lggroupe.com,04 68 61 45 86,Not Provided,Not Provided
Route de Jonquières 84100 Orange,Not provided,Not provided,Philippe Pontet,Not provided,Not provided,Not provided,Not provided,SAS Gemauto,Lionel Gemelli,Not provided,Jean-Marc Estran,Not provided,Not provided,www.gemelli-auto.com,0490 11 1700,Not provided,Not provided
21 quai Sadi Carnot 53000 Laval,784,Jean-Marc Josse,Patrice Ratton,,,1840,contact@gemy.fr,Gémy Automobiles,Pierre-Elie Gérard,,,,,www.gemy-automobiles.fr,02 43 58 13 30,15 905 (9 388),"19 422 (13 312 Peugeot, 4772 Citroën, aay Renault)"
"803 route de Chabeuil, 26000 Valence",,,Thierry Genin,,,,christophe.genin@geningroupe.fr,Groupe GENIN,Christophe Genin,,,,,www.groupe-genin.fr,04 75 82 46 66,,
3 chemin du Prieuré 59800 Lille (Hellemmes),,,Michel Cordier,,,,,GROUPE GGP,Jean-Marie Zodo,,,,,,03 59 614444,,
